feature,importance_mean,importance_std
relative_humidity_2m,0.46314153439153494,0.027279400268316826
hour_sin,0.26735569985570057,0.013811132115886733
hour_cos,0.20257616642616663,0.012806104426991566
precipitation,0.031004906204906656,0.0034130767113207173
wind_direction_10m,0.013972005772006213,0.004239027372495384
cloud_cover,0.006480615680615909,0.014590809421931722
month_sin,8.881784197001253e-17,2.664535259100376e-16
month_cos,0.0,0.0
surface_pressure,-0.012605194805194486,0.006065820569327113
wind_speed_10m,-0.07526584896584873,0.003026670991558368
