hour,mean,median,count
0,6.141,6.133,162
1,6.132,5.986,162
2,6.036,5.962,162
3,5.967,5.573,162
4,5.837,5.542,162
5,5.505,5.387,162
6,6.162,5.893,162
7,6.381,6.278,162
8,6.05,6.041,162
9,6.247,5.925,162
10,6.379,6.185,162
11,6.202,6.254,162
12,6.016,6.018,162
13,5.961,6.114,162
14,5.557,5.447,189
15,6.021,5.793,189
16,6.138,6.307,189
17,6.226,6.321,189
18,6.471,6.522,189
19,6.857,6.979,189
20,7.286,7.446,189
21,7.256,7.496,189
22,6.671,6.934,189
23,6.645,6.636,189
