feature,importance_mean,importance_std
relative_humidity_2m,0.4868305337176698,0.016459004716357046
hour_cos,0.19665256401984738,0.007620769597513561
wind_direction_10m,0.13905900718113165,0.0088778887821191
hour_sin,0.1290334270951366,0.00723544244623216
surface_pressure,0.0224041851161239,0.0046083461865037605
month_sin,0.0,0.0
month_cos,0.0,0.0
precipitation,-0.03393875944755589,0.0038250112392591677
cloud_cover,-0.04627094857842975,0.011624349296099382
wind_speed_10m,-0.09879876276981055,0.0101450781097177
