hour,mean,median,count
0,7.349,7.77,162
1,7.506,7.957,162
2,7.628,8.103,162
3,7.571,7.905,162
4,7.263,7.668,162
5,6.794,7.328,162
6,6.716,7.12,162
7,7.08,7.494,162
8,7.11,7.546,162
9,7.198,7.304,162
10,7.133,7.029,162
11,7.052,6.905,162
12,6.902,6.813,162
13,6.936,6.577,162
14,6.586,6.608,189
15,6.756,6.68,189
16,6.857,6.807,189
17,7.102,6.961,189
18,7.156,7.025,189
19,7.18,7.17,189
20,6.925,7.037,189
21,7.264,7.456,189
22,7.408,7.65,189
23,7.575,7.905,189
