hour,mean,median,count
0,6.679,6.622,162
1,6.256,6.358,162
2,6.214,6.159,162
3,6.043,5.569,162
4,5.956,5.455,162
5,5.33,4.974,162
6,5.974,5.563,162
7,6.398,6.232,162
8,6.671,6.182,162
9,6.752,6.517,162
10,6.84,6.631,162
11,5.534,5.125,162
12,5.145,5.44,162
13,5.564,5.424,162
14,5.409,4.791,189
15,6.011,5.828,189
16,6.242,6.706,189
17,6.308,6.838,189
18,6.461,7.382,189
19,8.208,7.781,189
20,8.409,8.358,189
21,8.358,8.927,189
22,7.781,7.801,189
23,7.527,7.429,189
